issuer_ca_id,issuer_name,name_value,min_cert_id,min_entry_timestamp,not_before
1628,"C=DE, ST=Baden-Württemberg, L=Durmersheim, O=EUNETIC GmbH, CN=EuropeanSSL Server CA 2",*.fuerstenfeld.gv.at,308858210,2018-01-20 03:45:33.058,2017-09-08 00:00:00
1628,"C=DE, ST=Baden-Württemberg, L=Durmersheim, O=EUNETIC GmbH, CN=EuropeanSSL Server CA 2",fuerstenfeld.gv.at,308858210,2018-01-20 03:45:33.058,2017-09-08 00:00:00
1628,"C=DE, ST=Baden-Württemberg, L=Durmersheim, O=EUNETIC GmbH, CN=EuropeanSSL Server CA 2",otp.scg.gv.at,308858063,2018-01-20 03:41:43.19,2017-04-03 00:00:00
1628,"C=DE, ST=Baden-Württemberg, L=Durmersheim, O=EUNETIC GmbH, CN=EuropeanSSL Server CA 2",www.otp.scg.gv.at,308858063,2018-01-20 03:41:43.19,2017-04-03 00:00:00
16418,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",gruenbach-schneeberg.gv.at,308809600,2018-01-20 02:00:22.435,2018-01-20 01:00:22
16418,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",www.gruenbach-schneeberg.gv.at,308809600,2018-01-20 02:00:22.435,2018-01-20 01:00:22
16418,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",www.xn--grnbach-schneeberg-n6b.gv.at,308809600,2018-01-20 02:00:22.435,2018-01-20 01:00:22
16418,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",xn--grnbach-schneeberg-n6b.gv.at,308809600,2018-01-20 02:00:22.435,2018-01-20 01:00:22
1476,"C=US, O=GeoTrust Inc., CN=GeoTrust SSL CA - G3",t-mdm.fma.gv.at,308447639,2018-01-19 17:13:40.308,2016-11-08 00:00:00
1479,"C=BE, O=GlobalSign nv-sa, CN=AlphaSSL CA - SHA256 - G2",*.sfws.gv.at,308447043,2018-01-19 17:12:15.009,2017-12-27 09:48:57
1479,"C=BE, O=GlobalSign nv-sa, CN=AlphaSSL CA - SHA256 - G2",sfws.gv.at,308447043,2018-01-19 17:12:15.009,2017-12-27 09:48:57
1482,"C=US, O=""thawte, Inc."", CN=thawte SHA256 SSL CA",moa-test.brz.gv.at,308435545,2018-01-19 17:07:23.528,2017-07-20 00:00:00
1687,"C=NL, ST=Noord-Holland, L=Amsterdam, O=TERENA, CN=TERENA SSL CA 3",AutoDiscover.neukirchen-walde.ooe.gv.at,308432590,2018-01-19 17:03:22.688,2017-06-08 00:00:00
1687,"C=NL, ST=Noord-Holland, L=Amsterdam, O=TERENA, CN=TERENA SSL CA 3",mail.neukirchen-walde.ooe.gv.at,308432590,2018-01-19 17:03:22.688,2017-06-08 00:00:00
1687,"C=NL, ST=Noord-Holland, L=Amsterdam, O=TERENA, CN=TERENA SSL CA 3",neukirchen-walde.ooe.gv.at,308432590,2018-01-19 17:03:22.688,2017-06-08 00:00:00
1687,"C=NL, ST=Noord-Holland, L=Amsterdam, O=TERENA, CN=TERENA SSL CA 3",AutoDiscover.micheldorf.ooe.gv.at,308431701,2018-01-19 17:02:36.189,2017-04-13 00:00:00
1687,"C=NL, ST=Noord-Holland, L=Amsterdam, O=TERENA, CN=TERENA SSL CA 3",mail.micheldorf.ooe.gv.at,308431701,2018-01-19 17:02:36.189,2017-04-13 00:00:00
1687,"C=NL, ST=Noord-Holland, L=Amsterdam, O=TERENA, CN=TERENA SSL CA 3",micheldorf.ooe.gv.at,308431701,2018-01-19 17:02:36.189,2017-04-13 00:00:00
1564,"C=US, O=""thawte, Inc."", OU=Domain Validated SSL, CN=thawte DV SSL SHA256 CA",usap.brz.gv.at,308426712,2018-01-19 16:57:55.608,2017-07-20 00:00:00
1687,"C=NL, ST=Noord-Holland, L=Amsterdam, O=TERENA, CN=TERENA SSL CA 3",chat.tirol.gv.at,308415514,2018-01-19 16:52:49.048,2017-03-20 00:00:00
1687,"C=NL, ST=Noord-Holland, L=Amsterdam, O=TERENA, CN=TERENA SSL CA 3",AutoDiscover.gramastetten.ooe.gv.at,308413188,2018-01-19 16:50:09.188,2017-08-07 00:00:00
1687,"C=NL, ST=Noord-Holland, L=Amsterdam, O=TERENA, CN=TERENA SSL CA 3",gramastetten.ooe.gv.at,308413188,2018-01-19 16:50:09.188,2017-08-07 00:00:00
1687,"C=NL, ST=Noord-Holland, L=Amsterdam, O=TERENA, CN=TERENA SSL CA 3",mail.gramastetten.ooe.gv.at,308413188,2018-01-19 16:50:09.188,2017-08-07 00:00:00
1687,"C=NL, ST=Noord-Holland, L=Amsterdam, O=TERENA, CN=TERENA SSL CA 3",portal.bmvit.gv.at,308404847,2018-01-19 16:47:28.487,2016-10-27 00:00:00
1564,"C=US, O=""thawte, Inc."", OU=Domain Validated SSL, CN=thawte DV SSL SHA256 CA",adressen.eggenburg.gv.at,308409026,2018-01-19 16:46:02.548,2017-02-20 00:00:00
1482,"C=US, O=""thawte, Inc."", CN=thawte SHA256 SSL CA",pvawp.graz.gv.at,308402949,2018-01-19 16:45:32.248,2017-11-21 00:00:00
